============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run22_multi_weighted_80k.json
Job ID:     163455
Node:       sh20
Extra args: 
Start time: Sun Mar 29 03:45:25 AM CEST 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run22_multi_weighted_80k.json) ==========

Using config file: configs/run22_multi_weighted_80k.json
Run directory: outputs/run_021
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 80000
============================================================
Ep 1550/80000 (1692s) | R: -299.9 | SWAPs: 316 | Gates: 43% | Done: 28% | Loss: 0.009 | Q: -2.0 | ε: 0.918 | Steps: 500470 | ep_time: 1.4s
Ep 1575/80000 (1719s) | R: -311.9 | SWAPs: 327 | Gates: 39% | Done: 24% | Loss: 0.011 | Q: -2.0 | ε: 0.917 | Steps: 508639 | ep_time: 1.3s
Ep 1600/80000 (1747s) | R: -316.8 | SWAPs: 333 | Gates: 41% | Done: 24% | Loss: 0.009 | Q: -2.0 | ε: 0.916 | Steps: 516973 | ep_time: 1.3s
Ep 1625/80000 (1772s) | R: -279.6 | SWAPs: 299 | Gates: 48% | Done: 36% | Loss: 0.011 | Q: -2.0 | ε: 0.914 | Steps: 524454 | ep_time: 1.4s
Ep 1650/80000 (1799s) | R: -302.8 | SWAPs: 319 | Gates: 42% | Done: 28% | Loss: 0.010 | Q: -2.0 | ε: 0.913 | Steps: 532423 | ep_time: 0.4s
Ep 1675/80000 (1826s) | R: -297.5 | SWAPs: 312 | Gates: 42% | Done: 28% | Loss: 0.012 | Q: -2.1 | ε: 0.912 | Steps: 540219 | ep_time: 0.2s
Ep 1700/80000 (1853s) | R: -303.2 | SWAPs: 321 | Gates: 42% | Done: 28% | Loss: 0.011 | Q: -2.1 | ε: 0.910 | Steps: 548246 | ep_time: 1.4s
Ep 1725/80000 (1880s) | R: -303.1 | SWAPs: 321 | Gates: 43% | Done: 28% | Loss: 0.009 | Q: -2.1 | ε: 0.909 | Steps: 556283 | ep_time: 1.4s
Ep 1750/80000 (1908s) | R: -326.5 | SWAPs: 342 | Gates: 37% | Done: 20% | Loss: 0.011 | Q: -2.1 | ε: 0.908 | Steps: 564839 | ep_time: 0.4s
Ep 1775/80000 (1934s) | R: -281.2 | SWAPs: 301 | Gates: 47% | Done: 32% | Loss: 0.010 | Q: -2.1 | ε: 0.907 | Steps: 572363 | ep_time: 1.4s
