============================================================
QUANTUM CIRCUIT ROUTING EXPERIMENT
Preset:     run16_multi_low_eps.json
Job ID:     162869
Node:       sh03
Extra args: 
Start time: Sat Mar 28 09:45:18 AM CET 2026
============================================================
Using existing environment.

========== PHASE 1: TRAINING (run16_multi_low_eps.json) ==========

Using config file: configs/run16_multi_low_eps.json
Run directory: outputs/run_016
Creating environment...
Environment OK.
Creating agent...
Device: cuda
Parameters: 11,988,277
Actions: 20 | Topologies: ['linear_5', 'grid_3x3', 'heavy_hex_19']

Starting training: episodes 0 → 45000
============================================================
Ep 2675/45000 (1837s) | R: -167.5 | SWAPs: 195 | Gates: 72% | Done: 64% | Loss: 0.007 | Q: -1.5 | ε: 0.880 | Steps: 552721 | ep_time: 0.3s
Ep 2700/45000 (1854s) | R: -174.0 | SWAPs: 208 | Gates: 72% | Done: 64% | Loss: 0.008 | Q: -1.5 | ε: 0.878 | Steps: 557917 | ep_time: 0.3s
Ep 2725/45000 (1869s) | R: -142.7 | SWAPs: 175 | Gates: 78% | Done: 72% | Loss: 0.008 | Q: -1.6 | ε: 0.878 | Steps: 562297 | ep_time: 0.2s
Ep 2750/45000 (1889s) | R: -226.6 | SWAPs: 251 | Gates: 60% | Done: 48% | Loss: 0.009 | Q: -1.6 | ε: 0.876 | Steps: 568560 | ep_time: 1.3s
Ep 2775/45000 (1909s) | R: -204.9 | SWAPs: 236 | Gates: 67% | Done: 56% | Loss: 0.008 | Q: -1.6 | ε: 0.875 | Steps: 574470 | ep_time: 1.3s
Ep 2800/45000 (1925s) | R: -160.6 | SWAPs: 192 | Gates: 75% | Done: 68% | Loss: 0.007 | Q: -1.6 | ε: 0.874 | Steps: 579266 | ep_time: 0.3s
Ep 2825/45000 (1938s) | R: -128.6 | SWAPs: 161 | Gates: 82% | Done: 76% | Loss: 0.009 | Q: -1.6 | ε: 0.873 | Steps: 583298 | ep_time: 0.2s
Ep 2850/45000 (1954s) | R: -165.8 | SWAPs: 202 | Gates: 75% | Done: 68% | Loss: 0.009 | Q: -1.6 | ε: 0.872 | Steps: 588354 | ep_time: 1.4s
Ep 2875/45000 (1968s) | R: -148.2 | SWAPs: 174 | Gates: 75% | Done: 68% | Loss: 0.008 | Q: -1.6 | ε: 0.871 | Steps: 592696 | ep_time: 0.1s
Ep 2900/45000 (1981s) | R: -122.2 | SWAPs: 154 | Gates: 81% | Done: 76% | Loss: 0.007 | Q: -1.6 | ε: 0.870 | Steps: 596538 | ep_time: 1.3s
Ep 2925/45000 (1996s) | R: -156.9 | SWAPs: 188 | Gates: 74% | Done: 68% | Loss: 0.008 | Q: -1.6 | ε: 0.869 | Steps: 601236 | ep_time: 0.3s
Ep 2950/45000 (2017s) | R: -215.1 | SWAPs: 245 | Gates: 62% | Done: 52% | Loss: 0.008 | Q: -1.6 | ε: 0.868 | Steps: 607358 | ep_time: 0.3s
Ep 2975/45000 (2032s) | R: -151.0 | SWAPs: 184 | Gates: 76% | Done: 68% | Loss: 0.007 | Q: -1.6 | ε: 0.867 | Steps: 611947 | ep_time: 1.3s
